Lat,Lon,ID,P,K,Ca
39.70578766,-83.44895935,10120,340,196,2730
39.71246338,-83.44722748,10212,164,236,3066
39.70718384,-83.44872284,10230,76,216,2667
39.70611954,-83.44562531,10430,192,416,3633
39.71464539,-83.44761658,10473,112,232,3654
39.70532227,-83.4391861,10480,138,284,4389
39.71075439,-83.44402313,10551,72,204,3129
39.71028519,-83.44684601,10633,76,240,3738
39.70624924,-83.44758606,10645,250,324,3570
39.71521759,-83.44674683,10763,176,336,4599
39.7115593,-83.44852448,10764,108,204,3045
39.70645142,-83.44084167,11105,116,180,2583
39.71551132,-83.44776917,11416,60,252,4074
39.71425247,-83.4460907,11463,64,220,3003
39.70935059,-83.44377899,11470,76,228,4158
39.7011528,-83.44717407,11475,92,228,3549
39.70553589,-83.44358826,11511,138,212,2877
39.71393967,-83.44700623,11584,116,344,3003
39.70277405,-83.44648743,11665,64,240,3171
39.70640945,-83.44132233,11744,90,256,3045
39.70492172,-83.44008636,11747,120,384,3969
39.7076149,-83.44879913,12026,80,152,1974
39.71244812,-83.44868469,12061,280,336,4788
39.70449448,-83.44243622,12144,108,268,3738
39.70666885,-83.44814301,12170,146,272,2856
39.70461273,-83.44197083,12216,60,264,3318
39.71115494,-83.4469986,12564,126,180,2520
39.70390701,-83.44474792,12594,310,272,3507
39.71088791,-83.44501495,12794,116,220,2646
39.70343018,-83.44902802,12832,176,312,3633
39.70972443,-83.44820404,12853,320,416,3591
39.70816422,-83.44986725,13008,56,216,2520
39.7015419,-83.4462738,13013,56,268,3696
39.70840073,-83.44845581,13077,164,412,2394
39.70701981,-83.44046021,13139,84,144,2604
39.70770645,-83.44155121,13369,176,204,2751
39.71392441,-83.44651794,13434,52,204,2352
39.70312119,-83.44364166,13490,104,240,4389
39.7084198,-83.44893646,13740,112,224,1869
39.70648575,-83.44472504,13747,310,184,3150
39.70927811,-83.44763947,13784,108,236,1932
39.70484161,-83.44153595,13830,84,296,4158
39.70550919,-83.44309998,13882,92,204,2541
39.71562576,-83.44682312,13898,146,272,4977
39.7155571,-83.44632721,13901,104,416,4263
39.71202087,-83.44424438,13921,48,188,3696
39.70980453,-83.44434357,13940,96,344,3843
39.71436691,-83.44562531,14105,68,284,3591
39.7051239,-83.44109344,14178,250,304,3528
39.71173096,-83.44612885,14257,66,264,3045
39.70678711,-83.44332123,14467,60,208,3192
39.70397186,-83.44137573,14777,216,340,4914
39.70318985,-83.44850159,14847,92,208,2688
39.70397949,-83.44379425,15287,116,284,4242
39.7029953,-83.44895172,15404,116,272,4200
39.70851898,-83.4465332,15464,40,220,2646
39.70450974,-83.4467926,15473,112,232,3591
39.71579361,-83.44490814,15503,260,400,4620
39.70902634,-83.44517517,15506,80,304,3885
39.71049118,-83.4464035,15526,56,232,3024
39.70464325,-83.44585419,15593,52,168,2772
39.7040863,-83.44769287,15699,32,176,3045
39.7063179,-83.44857025,15825,410,176,2499
39.71223068,-83.44670868,15878,46,220,3255
39.70495987,-83.44784546,15970,126,204,2772
39.70439911,-83.44145203,15986,146,236,3675
39.70685959,-83.44478607,16359,112,268,3150
39.70741272,-83.44585419,16384,176,204,2646
39.70636749,-83.44615936,16491,120,224,2226
39.70718765,-83.44001007,16654,100,276,3171
39.71479034,-83.44667053,16668,164,232,4221
39.70558548,-83.44165802,16694,100,268,3927
39.70443726,-83.44629669,16742,330,376,3633
39.70285416,-83.4479599,16876,24,220,3801
39.7048378,-83.44394684,16880,146,348,3759
39.71182632,-83.44760132,16969,580,152,3003
39.70327759,-83.44803619,17254,56,212,3360
39.70536804,-83.44258881,17404,74,232,1890
39.70772934,-83.44979095,17414,48,164,2919
39.70829773,-83.4460144,17502,34,164,2541
39.70731735,-83.44197083,17508,68,220,3675
39.70615387,-83.44030762,17520,96,196,2478
39.70884705,-83.44755554,17538,52,324,2709
39.7105217,-83.44737244,17542,104,384,3234
39.70226288,-83.44591522,17621,36,280,4137
39.7116394,-83.44563293,17650,52,288,4158
39.71017838,-83.44828033,17719,280,444,3402
39.70439148,-83.44532776,17897,176,380,4263
39.70270538,-83.44599152,17904,164,352,4158
39.70794678,-83.44934082,18104,60,188,2352
39.70578766,-83.44023895,18113,192,144,2142
39.70420837,-83.44287109,18290,46,220,3759
39.70144653,-83.44818878,18336,56,204,2877
39.71042252,-83.44589996,18442,132,252,2961
39.71393204,-83.44554901,18582,36,240,3759
39.70709229,-83.45014954,20029,50,164,2415
39.71543884,-83.44533539,20053,44,208,3549
39.70708466,-83.44918823,20105,54,216,2310
39.70454025,-83.43839264,20148,126,368,3360
39.71435547,-83.44659424,20255,138,208,3024
39.70334625,-83.44271851,20340,138,224,2961
39.70274734,-83.44696808,20506,126,312,3045
39.70502853,-83.43962097,20685,164,352,3171
39.70837402,-83.44942474,20890,90,156,1953
39.70836258,-83.43973541,21158,120,312,3696
39.70545578,-83.43969727,21202,192,392,3192
39.70265579,-83.44501495,22077,48,268,3885
39.71121597,-83.44868469,22089,126,152,2982
39.705616,-83.44457245,22207,146,264,3318
39.70806503,-83.44355011,22221,410,372,4683
39.70809174,-83.44648743,22288,52,176,2772
39.71242523,-83.44480133,22596,104,288,4200
39.71363068,-83.4484024,22764,88,196,2814
39.70321274,-83.44753265,23610,96,280,5397
39.70474243,-83.44441986,30015,280,216,3423
39.71260071,-83.44628906,30089,138,260,3528
39.71349335,-83.44547272,30090,40,272,2877
39.70513153,-83.44932556,30301,164,232,3402
39.71175385,-83.44516754,30310,84,300,4683
39.71483994,-83.44813538,30378,116,188,2604
39.7098465,-83.44676971,30380,68,292,3318
39.70645142,-83.44181061,31021,100,256,4032
39.71294785,-83.44586182,31140,62,248,3024
39.7057991,-83.4426651,31161,192,264,3255
39.70507431,-83.44302368,31167,56,260,2751
39.70635986,-83.44324493,31194,176,384,2856
39.7005806,-83.44852448,31285,216,276,4011
39.70575714,-83.43927002,31396,104,244,3087
39.7126236,-83.44532013,40079,90,360,4536
39.70233917,-83.44738007,40447,108,232,3045
39.70449448,-83.44873047,40532,176,224,4011
39.70693588,-83.44528961,40560,240,280,3213
39.70791245,-83.44691467,40565,84,192,2121
39.70831299,-83.44068909,40626,22,140,2772
39.71085739,-83.44597626,40685,66,192,2016
39.70563889,-83.44506073,40749,126,164,2667
39.70591736,-83.44219971,40770,192,152,2499
39.70650864,-83.44521332,40866,126,300,3780
39.70946121,-83.44525146,40940,80,256,4956
39.70661163,-83.44668579,40988,440,388,3633
39.70710373,-83.4482193,41000,120,268,2352
39.7040596,-83.44865417,41023,44,172,1806
39.71155167,-83.44464874,41048,108,172,2352
39.70170212,-83.44872284,41628,146,224,3444
39.70294952,-83.44313049,41836,68,256,3108
39.70763397,-83.44347382,41863,216,288,3675
39.71129608,-83.44605255,41871,84,168,1932
39.70525742,-83.44547272,41878,340,248,3990
39.70774841,-83.44494629,41927,380,248,3906
39.7076683,-83.44638062,41968,400,220,3570
39.70666122,-83.45007324,42053,74,176,2499
39.71289825,-83.4473114,42107,108,188,2814
39.7026062,-83.44451904,42199,216,288,3528
39.7148056,-83.44570923,42258,88,156,2625
39.71092987,-83.4464798,42523,56,176,2772
39.70755386,-83.44781494,42553,108,360,3024
39.70548248,-83.44212341,42581,96,208,3192
39.70918274,-83.44616699,42620,54,304,3507
39.70643616,-83.44956207,42692,176,312,3024
39.71337891,-83.44593811,42704,18,172,3003
39.71198654,-83.44472504,42834,120,344,4095
39.70607758,-83.44513702,42835,52,272,3192
39.71179581,-83.44663239,42866,90,180,3255
39.7088623,-83.44805145,42887,192,240,2394
39.71450424,-83.44855499,42983,116,240,2919
39.7156868,-83.44731903,43067,100,228,4095
39.70618057,-83.4466095,43108,240,356,3801
39.70834351,-83.44699097,43140,146,244,3780
39.70666122,-83.44281769,43168,176,340,3717
39.70386124,-83.44910431,43233,192,304,3024
39.707901,-83.44448853,43331,126,328,3885
39.7141304,-83.44510651,43759,60,276,4032
39.7023468,-83.44641113,43808,120,240,3801
39.70911407,-83.44567108,43884,164,384,4683
39.70467377,-83.44343567,43960,76,232,4032
39.71251297,-83.44579315,43965,34,256,3696
39.70362854,-83.44228363,43973,132,276,3864
39.70962143,-83.44624329,43975,62,200,2961
39.71219254,-83.44524384,43983,64,212,3318
39.70101547,-83.44811249,44022,146,220,3465
39.70589066,-83.43977356,44024,126,312,3423
39.71511841,-83.44625092,44049,66,220,3402
39.71525192,-83.44724274,44055,146,324,5271
39.70753098,-83.45023346,44126,104,344,2667
39.70753098,-83.44297028,44147,126,324,3864
39.70710754,-83.447258,44151,154,244,3591
39.70594025,-83.44317627,44164,104,148,2646
39.70746613,-83.44683075,44175,216,444,2772
39.70674896,-83.44864655,44195,146,200,2142
39.70362473,-83.44857788,44210,96,192,2751
39.70189285,-83.44918823,44232,120,260,2919
39.70572662,-83.44410706,44258,350,288,3066
39.71076584,-83.44548035,44352,52,216,3108
39.70768356,-83.44251251,44428,84,208,3045
39.70635223,-83.442276,44475,112,244,2667
39.70452118,-83.44776917,44534,52,180,2814
39.70318222,-83.44704437,44537,90,460,3318
39.71468735,-83.44617462,44541,48,200,2940
39.70446396,-83.43904114,44552,164,204,2919
39.70319366,-83.44220734,44570,74,244,3486
39.70721436,-83.44339752,44640,216,216,3822
39.71623611,-83.44644928,44641,132,244,4284
39.70825195,-83.44551849,44665,164,244,3696
39.70537186,-83.44791412,44713,310,344,2604
39.71456528,-83.4451828,44746,72,196,3738
39.70232773,-83.4492569,44807,126,316,3444
39.70679092,-83.44235229,44812,154,348,3465
39.70632553,-83.43985748,44903,96,220,2814
39.70574188,-83.4465332,44911,192,244,2982
39.70753479,-83.44829559,44913,192,224,2289
39.70724869,-83.44389343,44925,216,284,3612
39.70399857,-83.4462204,50016,96,288,3171
39.70275879,-83.44841766,50029,44,168,2352
39.70405579,-83.43993378,50046,92,252,3171
39.70469284,-83.44101715,50112,132,452,5271
39.70491791,-83.44880676,50116,146,188,2583
